net,length_um
clknet_0_clk,732.23µm
_02098_,705.335µm
_02175_,676.89µm
_02077_,658.09µm
net250,654.92µm
net623,648.76µm
_02055_,630.735µm
_02087_,614.31µm
net646,584.46µm
net547,537.33µm
_02109_,527.805µm
net671,527.41µm
net511,512.94µm
_02044_,503.98µm
_02022_,489.21µm
net31,486.74µm
net33,482.12µm
net481,472.46µm
net395,459.64µm
net32,458.62µm
net424,457.36µm
net21,444.2µm
net15,441.06µm
net26,432.71µm
_02011_,427.755µm
net14,421.96µm
net525,420.35µm
net18,418.29µm
net10,400.3µm
net441,399.69µm
net491,384.425µm
net519,378.69µm
net89,372.755µm
net569,360.34µm
net399,358.53µm
clk,337.45µm
net498,337.13µm
net337,330.46µm
net268,328.34µm
net25,319.67µm
net271,309.295µm
net81,305.63µm
net593,302.97µm
net590,296.555µm
net533,292.06µm
net488,286.57µm
net27,274.62µm
net494,268µm
net470,267.035µm
net536,265.44µm
net17,262.805µm
_02120_,262.63µm
net474,257.485µm
net97,256.71µm
net689,254.14µm
net392,251.24µm
net480,249.18µm
net28,248.2µm
net735,248.2µm
net311,247.065µm
net73,244.62µm
net449,244.04µm
net161,242.24µm
net438,240.215µm
net453,240.19µm
net440,238.89µm
net379,237.56µm
net477,237.06µm
net375,236.16µm
net84,233.54µm
net663,233.385µm
net530,231.77µm
net445,228.16µm
net522,226.66µm
net22,224.98µm
net425,224.55µm
net23,224.11µm
net44,223.82µm
net638,221.98µm
net60,220.9µm
net767,218.8µm
net9,218.74µm
net546,216.545µm
net289,214.96µm
net8,214.86µm
net528,209.94µm
net742,208.57µm
net516,206.26µm
net614,205.58µm
net1,205.04µm
net5,201.66µm
net521,200.64µm
net447,200.33µm
net825,199.36µm
net274,199.14µm
net320,198.48µm
net624,198.22µm
net7,197.09µm
net615,196.11µm
clknet_3_6__leaf_clk,196.08µm
net4,195.54µm
net657,195.38µm
net700,193.98µm
net795,193.56µm
net621,193.245µm
net818,191.73µm
net357,191.345µm
net258,190.325µm
net275,189.44µm
net432,187.32µm
net145,186.3µm
net557,185.745µm
net816,185.63µm
net277,185.095µm
clknet_3_1__leaf_clk,184.66µm
net87,184.54µm
net358,184.25µm
net697,183.58µm
net573,183.22µm
net601,182.52µm
net121,182.35µm
net322,182.31µm
net86,182.25µm
net42,181.21µm
net596,180.035µm
net435,179.24µm
net640,178.545µm
net571,177.395µm
net105,177.35µm
net110,177.2µm
net256,176.12µm
net431,175.92µm
net36,174.91µm
net34,174.37µm
net466,172.02µm
net260,171.89µm
net63,169.13µm
net698,169.1µm
net292,168.68µm
net160,167.92µm
net417,166.82µm
net85,166.09µm
net64,166.06µm
net129,165.98µm
net332,165.48µm
net65,164.99µm
net301,164.635µm
net588,163.74µm
net572,163.41µm
net128,163.37µm
net272,163.32µm
net539,162.78µm
net251,162.655µm
net642,162.635µm
net418,162.07µm
net433,161.5µm
net99,161.02µm
net318,160.53µm
net676,160.5µm
net609,159.39µm
net644,159.34µm
net652,158.975µm
net299,158.97µm
net107,158.64µm
net153,158.62µm
net385,158.42µm
net545,157.82µm
net599,155.705µm
net535,155.64µm
net665,155.405µm
net607,155.235µm
net531,154.05µm
net411,153.57µm
net397,153.48µm
net141,153.34µm
net444,153.13µm
net118,152.44µm
net921,152.26µm
net366,152.01µm
net252,151.205µm
net401,151.02µm
net208,150.9µm
net643,150.86µm
net335,150.84µm
net52,150.09µm
net126,149.6µm
net329,148.56µm
net98,148.4µm
net550,148.365µm
