Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_136_809,VGND,li1,378.1200,380.8000,0.000050
FILLER_136_797,VGND,li1,374.9000,380.8000,0.000050
FILLER_136_785,VGND,li1,369.3800,380.8000,0.000050
FILLER_136_781,VGND,li1,365.4700,380.8000,0.000050
FILLER_136_769,VGND,li1,362.0200,380.8000,0.000050
FILLER_136_757,VGND,li1,356.5000,380.8000,0.000050
FILLER_136_755,VGND,li1,353.0500,380.8000,0.000050
FILLER_136_747,VGND,li1,350.9800,380.8000,0.000050
FILLER_136_735,VGND,li1,346.3800,380.8000,0.000050
FILLER_136_720,VGND,li1,338.5600,380.8000,0.000049
FILLER_136_713,VGND,li1,334.4200,380.8000,0.000048
FILLER_136_699,VGND,li1,327.2900,380.8000,0.000071
FILLER_136_695,VGND,li1,326.1400,380.8000,0.000071
FILLER_136_685,VGND,li1,321.5400,380.8000,0.000097
FILLER_136_678,VGND,li1,318.3200,380.8000,0.000110
FILLER_136_673,VGND,li1,315.5600,380.8000,0.000117
FILLER_136_671,VGND,li1,314.4100,380.8000,0.000125
FILLER_136_664,VGND,li1,311.8800,380.8000,0.000135
FILLER_136_657,VGND,li1,308.6600,380.8000,0.000148
FILLER_136_651,VGND,li1,305.6700,380.8000,0.000159
FILLER_136_645,VGND,li1,302.6800,380.8000,0.000169
FILLER_136_643,VGND,li1,301.5300,380.8000,0.000169
FILLER_136_639,VGND,li1,299.6900,380.8000,0.000176
FILLER_136_635,VGND,li1,298.5400,380.8000,0.000183
FILLER_136_623,VGND,li1,294.8600,380.8000,0.000194
FILLER_136_617,VGND,li1,289.8000,380.8000,0.000215
FILLER_136_615,VGND,li1,288.6500,380.8000,0.000222
FILLER_136_609,VGND,li1,287.0400,380.8000,0.000222
FILLER_136_597,VGND,li1,281.9800,380.8000,0.000237
FILLER_136_589,VGND,li1,276.9200,380.8000,0.000252
FILLER_136_582,VGND,li1,273.7000,380.8000,0.000258
FILLER_136_574,VGND,li1,271.4000,380.8000,0.000263
FILLER_136_567,VGND,li1,267.0300,380.8000,0.000274
FILLER_136_561,VGND,li1,264.0400,380.8000,0.000275
FILLER_136_553,VGND,li1,260.5900,380.8000,0.000275
FILLER_136_545,VGND,li1,258.0600,380.8000,0.000276
FILLER_136_533,VGND,li1,253.4600,380.8000,0.000277
FILLER_136_529,VGND,li1,249.5500,380.8000,0.000278
FILLER_136_517,VGND,li1,246.1000,380.8000,0.000278
FILLER_136_505,VGND,li1,240.5800,380.8000,0.000279
FILLER_136_501,VGND,li1,236.6700,380.8000,0.000280
FILLER_136_489,VGND,li1,233.2200,380.8000,0.000281
FILLER_136_477,VGND,li1,227.7000,380.8000,0.000282
FILLER_136_473,VGND,li1,223.7900,380.8000,0.000283
FILLER_136_461,VGND,li1,220.3400,380.8000,0.000283
FILLER_136_449,VGND,li1,214.8200,380.8000,0.000285
