Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_136_809,VPWR,li1,378.1200,383.5200,1.799948
FILLER_136_797,VPWR,li1,374.9000,383.5200,1.799948
FILLER_136_785,VPWR,li1,369.3800,383.5200,1.799948
FILLER_136_781,VPWR,li1,365.4700,383.5200,1.799948
FILLER_136_769,VPWR,li1,362.0200,383.5200,1.799948
FILLER_136_757,VPWR,li1,356.5000,383.5200,1.799948
FILLER_136_755,VPWR,li1,353.0500,383.5200,1.799948
FILLER_136_747,VPWR,li1,350.9800,383.5200,1.799948
FILLER_136_735,VPWR,li1,346.3800,383.5200,1.799948
FILLER_136_720,VPWR,li1,338.5600,383.5200,1.799948
FILLER_136_713,VPWR,li1,334.4200,383.5200,1.799949
FILLER_136_699,VPWR,li1,327.2900,383.5200,1.799938
FILLER_136_695,VPWR,li1,326.1400,383.5200,1.799938
FILLER_136_685,VPWR,li1,321.5400,383.5200,1.799911
FILLER_136_678,VPWR,li1,318.3200,383.5200,1.799897
FILLER_136_673,VPWR,li1,315.5600,383.5200,1.799888
FILLER_136_671,VPWR,li1,314.4100,383.5200,1.799888
FILLER_136_664,VPWR,li1,311.8800,383.5200,1.799877
FILLER_136_657,VPWR,li1,308.6600,383.5200,1.799864
FILLER_136_651,VPWR,li1,305.6700,383.5200,1.799852
FILLER_136_645,VPWR,li1,302.6800,383.5200,1.799840
FILLER_136_643,VPWR,li1,301.5300,383.5200,1.799832
FILLER_136_639,VPWR,li1,299.6900,383.5200,1.799824
FILLER_136_635,VPWR,li1,298.5400,383.5200,1.799824
FILLER_136_623,VPWR,li1,294.8600,383.5200,1.799809
FILLER_136_617,VPWR,li1,289.8000,383.5200,1.799787
FILLER_136_615,VPWR,li1,288.6500,383.5200,1.799780
FILLER_136_609,VPWR,li1,287.0400,383.5200,1.799780
FILLER_136_597,VPWR,li1,281.9800,383.5200,1.799763
FILLER_136_589,VPWR,li1,276.9200,383.5200,1.799748
FILLER_136_582,VPWR,li1,273.7000,383.5200,1.799741
FILLER_136_574,VPWR,li1,271.4000,383.5200,1.799736
FILLER_136_567,VPWR,li1,267.0300,383.5200,1.799724
FILLER_136_561,VPWR,li1,264.0400,383.5200,1.799723
FILLER_136_553,VPWR,li1,260.5900,383.5200,1.799722
FILLER_136_545,VPWR,li1,258.0600,383.5200,1.799721
FILLER_136_533,VPWR,li1,253.4600,383.5200,1.799719
FILLER_136_529,VPWR,li1,249.5500,383.5200,1.799717
FILLER_136_517,VPWR,li1,246.1000,383.5200,1.799716
FILLER_136_505,VPWR,li1,240.5800,383.5200,1.799714
FILLER_136_501,VPWR,li1,236.6700,383.5200,1.799713
FILLER_136_489,VPWR,li1,233.2200,383.5200,1.799711
FILLER_136_477,VPWR,li1,227.7000,383.5200,1.799709
