Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_281,VGND,li1,135.4700,141.4400,0.000074
FILLER_47_277,VGND,li1,133.6300,141.4400,0.000074
FILLER_47_265,VGND,li1,130.1800,141.4400,0.000074
FILLER_47_253,VGND,li1,124.6600,141.4400,0.000074
FILLER_47_245,VGND,li1,118.9100,141.4400,0.000074
FILLER_47_237,VGND,li1,116.3800,141.4400,0.000073
FILLER_47_225,VGND,li1,111.7800,141.4400,0.000073
FILLER_47_217,VGND,li1,106.0300,141.4400,0.000071
FILLER_47_209,VGND,li1,102.5800,141.4400,0.000071
FILLER_47_197,VGND,li1,98.9000,141.4400,0.000069
FILLER_47_195,VGND,li1,95.4500,141.4400,0.000067
FILLER_47_189,VGND,li1,93.8400,141.4400,0.000067
FILLER_47_182,VGND,li1,89.9300,141.4400,0.000064
FILLER_47_175,VGND,li1,86.7100,141.4400,0.000062
FILLER_47_169,VGND,li1,83.7200,141.4400,0.000061
FILLER_47_167,VGND,li1,82.5700,141.4400,0.000061
FILLER_47_163,VGND,li1,80.7300,141.4400,0.000059
FILLER_47_155,VGND,li1,78.6600,141.4400,0.000058
FILLER_47_141,VGND,li1,70.8400,141.4400,0.000050
FILLER_47_137,VGND,li1,69.2300,141.4400,0.000050
FILLER_47_125,VGND,li1,65.7800,141.4400,0.000047
FILLER_47_113,VGND,li1,60.2600,141.4400,0.000041
FILLER_47_109,VGND,li1,56.3500,141.4400,0.000038
FILLER_47_97,VGND,li1,52.9000,141.4400,0.000035
FILLER_47_85,VGND,li1,47.3800,141.4400,0.000030
FILLER_47_81,VGND,li1,43.4700,141.4400,0.000026
FILLER_47_69,VGND,li1,40.0200,141.4400,0.000023
FILLER_47_57,VGND,li1,34.5000,141.4400,0.000018
FILLER_47_53,VGND,li1,30.5900,141.4400,0.000014
FILLER_47_41,VGND,li1,27.1400,141.4400,0.000011
FILLER_47_29,VGND,li1,21.6200,141.4400,0.000009
FILLER_47_27,VGND,li1,18.1700,141.4400,0.000009
FILLER_47_15,VGND,li1,15.1800,141.4400,0.000009
FILLER_47_3,VGND,li1,9.6600,141.4400,0.000009
FILLER_46_283,VGND,li1,135.9300,136.0000,0.000237
FILLER_46_277,VGND,li1,134.3200,136.0000,0.000237
FILLER_46_265,VGND,li1,130.1800,136.0000,0.000237
FILLER_46_253,VGND,li1,124.6600,136.0000,0.000237
FILLER_46_249,VGND,li1,120.7500,136.0000,0.000237
FILLER_46_237,VGND,li1,117.3000,136.0000,0.000237
FILLER_46_225,VGND,li1,111.7800,136.0000,0.000237
FILLER_46_213,VGND,li1,106.2600,136.0000,0.000236
FILLER_46_205,VGND,li1,100.5100,136.0000,0.000236
FILLER_46_197,VGND,li1,97.9800,136.0000,0.000235
FILLER_46_195,VGND,li1,95.4500,136.0000,0.000234
FILLER_46_187,VGND,li1,93.3800,136.0000,0.000234
FILLER_46_177,VGND,li1,87.4000,136.0000,0.000228
FILLER_46_150,VGND,li1,75.9000,136.0000,0.000209
FILLER_46_141,VGND,li1,70.6100,136.0000,0.000193
FILLER_46_136,VGND,li1,69.0000,136.0000,0.000193
FILLER_46_124,VGND,li1,65.3200,136.0000,0.000177
FILLER_46_112,VGND,li1,59.8000,136.0000,0.000164
FILLER_46_100,VGND,li1,54.2800,136.0000,0.000143
FILLER_46_88,VGND,li1,48.7600,136.0000,0.000124
FILLER_46_75,VGND,li1,40.2500,136.0000,0.000094
FILLER_46_67,VGND,li1,38.1800,136.0000,0.000087
FILLER_46_55,VGND,li1,33.5800,136.0000,0.000074
FILLER_46_49,VGND,li1,28.5200,136.0000,0.000050
FILLER_46_41,VGND,li1,26.2200,136.0000,0.000041
FILLER_46_29,VGND,li1,21.6200,136.0000,0.000041
FILLER_46_27,VGND,li1,18.1700,136.0000,0.000041
FILLER_46_15,VGND,li1,15.1800,136.0000,0.000041
FILLER_46_3,VGND,li1,9.6600,136.0000,0.000041
FILLER_45_281,VGND,li1,135.4700,136.0000,0.000237
FILLER_45_279,VGND,li1,134.0900,136.0000,0.000237
FILLER_45_275,VGND,li1,132.9400,136.0000,0.000237
FILLER_45_263,VGND,li1,129.2600,136.0000,0.000237
FILLER_45_251,VGND,li1,123.7400,136.0000,0.000237
FILLER_45_229,VGND,li1,111.0900,136.0000,0.000236
FILLER_45_221,VGND,li1,107.8700,136.0000,0.000236
FILLER_45_213,VGND,li1,103.7300,136.0000,0.000236
FILLER_45_185,VGND,li1,90.8500,136.0000,0.000231
FILLER_45_164,VGND,li1,81.1900,136.0000,0.000219
FILLER_45_147,VGND,li1,73.3700,136.0000,0.000203
FILLER_45_130,VGND,li1,65.5500,136.0000,0.000177
FILLER_45_113,VGND,li1,60.2600,136.0000,0.000164
FILLER_45_107,VGND,li1,54.9700,136.0000,0.000143
FILLER_45_101,VGND,li1,53.3600,136.0000,0.000143
FILLER_45_78,VGND,li1,41.8600,136.0000,0.000103
FILLER_45_72,VGND,li1,38.8700,136.0000,0.000094
FILLER_45_42,VGND,li1,25.7600,136.0000,0.000041
FILLER_45_30,VGND,li1,22.0800,136.0000,0.000041
FILLER_45_18,VGND,li1,16.5600,136.0000,0.000041
FILLER_45_6,VGND,li1,11.0400,136.0000,0.000041
FILLER_44_283,VGND,li1,135.9300,130.5600,0.000210
FILLER_44_277,VGND,li1,134.3200,130.5600,0.000210
FILLER_44_265,VGND,li1,130.1800,130.5600,0.000210
FILLER_44_253,VGND,li1,124.6600,130.5600,0.000210
FILLER_44_251,VGND,li1,121.2100,130.5600,0.000210
FILLER_44_245,VGND,li1,119.6000,130.5600,0.000210
FILLER_44_197,VGND,li1,97.0600,130.5600,0.000200
FILLER_44_192,VGND,li1,94.7600,130.5600,0.000197
FILLER_44_180,VGND,li1,89.2400,130.5600,0.000190
FILLER_44_162,VGND,li1,80.2700,130.5600,0.000177
FILLER_44_158,VGND,li1,79.1200,130.5600,0.000177
FILLER_44_115,VGND,li1,59.8000,130.5600,0.000143
FILLER_44_108,VGND,li1,55.8900,130.5600,0.000135
FILLER_44_82,VGND,li1,43.7000,130.5600,0.000096
FILLER_44_75,VGND,li1,40.4800,130.5600,0.000086
FILLER_44_67,VGND,li1,37.2600,130.5600,0.000080
FILLER_44_55,VGND,li1,32.2000,130.5600,0.000061
FILLER_44_44,VGND,li1,26.4500,130.5600,0.000045
FILLER_44_36,VGND,li1,23.9200,130.5600,0.000036
FILLER_44_26,VGND,li1,17.9400,130.5600,0.000038
FILLER_44_18,VGND,li1,15.6400,130.5600,0.000038
FILLER_44_6,VGND,li1,11.0400,130.5600,0.000039
FILLER_43_281,VGND,li1,135.4700,130.5600,0.000210
FILLER_43_278,VGND,li1,133.8600,130.5600,0.000210
FILLER_43_266,VGND,li1,130.6400,130.5600,0.000210
FILLER_43_254,VGND,li1,125.1200,130.5600,0.000210
FILLER_43_242,VGND,li1,119.6000,130.5600,0.000210
FILLER_43_230,VGND,li1,114.0800,130.5600,0.000210
FILLER_43_209,VGND,li1,102.1200,130.5600,0.000205
FILLER_43_201,VGND,li1,99.8200,130.5600,0.000203
FILLER_43_181,VGND,li1,89.4700,130.5600,0.000190
FILLER_43_173,VGND,li1,86.9400,130.5600,0.000187
FILLER_43_164,VGND,li1,81.8800,130.5600,0.000180
FILLER_43_152,VGND,li1,78.2000,130.5600,0.000174
FILLER_43_134,VGND,li1,67.3900,130.5600,0.000160
FILLER_43_128,VGND,li1,65.7800,130.5600,0.000156
FILLER_43_109,VGND,li1,56.3500,130.5600,0.000135
FILLER_43_92,VGND,li1,48.5300,130.5600,0.000115
FILLER_43_81,VGND,li1,44.1600,130.5600,0.000102
FILLER_43_69,VGND,li1,40.0200,130.5600,0.000086
FILLER_43_57,VGND,li1,34.5000,130.5600,0.000071
FILLER_43_54,VGND,li1,30.8200,130.5600,0.000055
FILLER_43_42,VGND,li1,27.6000,130.5600,0.000045
FILLER_43_30,VGND,li1,22.0800,130.5600,0.000037
FILLER_43_26,VGND,li1,17.7100,130.5600,0.000038
FILLER_43_17,VGND,li1,14.7200,130.5600,0.000038
FILLER_43_11,VGND,li1,11.0400,130.5600,0.000039
FILLER_43_3,VGND,li1,8.7400,130.5600,0.000039
FILLER_42_283,VGND,li1,135.9300,125.1200,0.000088
FILLER_42_277,VGND,li1,134.3200,125.1200,0.000088
FILLER_42_265,VGND,li1,130.1800,125.1200,0.000088
FILLER_42_253,VGND,li1,124.6600,125.1200,0.000087
FILLER_42_250,VGND,li1,120.9800,125.1200,0.000087
FILLER_42_242,VGND,li1,118.6800,125.1200,0.000086
FILLER_42_230,VGND,li1,114.0800,125.1200,0.000086
FILLER_42_218,VGND,li1,108.5600,125.1200,0.000085
FILLER_42_209,VGND,li1,103.0400,125.1200,0.000084
FILLER_42_197,VGND,li1,98.9000,125.1200,0.000083
FILLER_42_195,VGND,li1,95.4500,125.1200,0.000082
