Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,444
design__inferred_latch__count,0
design__instance__count,1070
design__instance__area,6712.69
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006061077583581209
power__switching__total,0.00041322855395264924
power__leakage__total,7.77261721651712E-9
power__total,0.001019344083033502
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25385894105370604
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25401043098970055
timing__hold__ws__corner:nom_tt_025C_1v80,0.3231434655768125
timing__setup__ws__corner:nom_tt_025C_1v80,3.876515662638296
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323143
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.762669
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25536437576209875
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25550909333745153
timing__hold__ws__corner:nom_ss_100C_1v60,0.9203484901355016
timing__setup__ws__corner:nom_ss_100C_1v60,-0.14681678510711266
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.20792168575380648
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.14681678510711266
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.920348
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.058010
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2530616066104457
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25321559454831627
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10940670901131418
timing__setup__ws__corner:nom_ff_n40C_1v95,5.381733433445847
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109407
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2526312008872014
clock__skew__worst_setup,0.25273214791857046
timing__hold__ws,0.10754547556904205
timing__setup__ws,-0.19498803124034453
timing__hold__tns,0.0
timing__setup__tns,-0.3042002291722432
timing__hold__wns,0
timing__setup__wns,-0.19498803124034453
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107545
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,1.955325
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 143.165 153.885
design__core__bbox,5.52 10.88 137.54 141.44
design__io,58
design__die__area,22030.9
design__core__area,17236.5
design__instance__count__stdcell,1070
design__instance__area__stdcell,6712.69
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.389445
design__instance__utilization__stdcell,0.389445
design__instance__count__class:buffer,1
design__instance__count__class:inverter,10
design__instance__count__class:sequential_cell,52
design__instance__count__class:multi_input_combinational_cell,625
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1344
design__instance__count__class:tap_cell,250
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,56
design__io__hpwl,3507498
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,13662.9
design__violations,0
design__instance__count__class:timing_repair_buffer,125
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,18
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,839
route__net__special,2
route__drc_errors__iter:1,162
route__wirelength__iter:1,14891
route__drc_errors__iter:2,77
route__wirelength__iter:2,14816
route__drc_errors__iter:3,59
route__wirelength__iter:3,14790
route__drc_errors__iter:4,0
route__wirelength__iter:4,14774
route__drc_errors,0
route__wirelength,14774
route__vias,5400
route__vias__singlecut,5400
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,164.36
timing__unannotated_net__count__corner:nom_tt_025C_1v80,2
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,2
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,2
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25334154935402226
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25344072002850165
timing__hold__ws__corner:min_tt_025C_1v80,0.32058434592152346
timing__setup__ws__corner:min_tt_025C_1v80,3.9098756450257177
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
