Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_47_281,VPWR,li1,135.4700,138.7200,1.799903
FILLER_47_277,VPWR,li1,133.6300,138.7200,1.799903
FILLER_47_265,VPWR,li1,130.1800,138.7200,1.799903
FILLER_47_253,VPWR,li1,124.6600,138.7200,1.799903
FILLER_47_245,VPWR,li1,118.9100,138.7200,1.799903
FILLER_47_237,VPWR,li1,116.3800,138.7200,1.799903
FILLER_47_225,VPWR,li1,111.7800,138.7200,1.799904
FILLER_47_217,VPWR,li1,106.0300,138.7200,1.799905
FILLER_47_209,VPWR,li1,102.5800,138.7200,1.799906
FILLER_47_197,VPWR,li1,98.9000,138.7200,1.799908
FILLER_47_195,VPWR,li1,95.4500,138.7200,1.799909
FILLER_47_189,VPWR,li1,93.8400,138.7200,1.799910
FILLER_47_182,VPWR,li1,89.9300,138.7200,1.799911
FILLER_47_175,VPWR,li1,86.7100,138.7200,1.799915
FILLER_47_169,VPWR,li1,83.7200,138.7200,1.799917
FILLER_47_167,VPWR,li1,82.5700,138.7200,1.799917
FILLER_47_163,VPWR,li1,80.7300,138.7200,1.799918
FILLER_47_155,VPWR,li1,78.6600,138.7200,1.799920
FILLER_47_141,VPWR,li1,70.8400,138.7200,1.799928
FILLER_47_137,VPWR,li1,69.2300,138.7200,1.799930
FILLER_47_125,VPWR,li1,65.7800,138.7200,1.799934
FILLER_47_113,VPWR,li1,60.2600,138.7200,1.799939
FILLER_47_109,VPWR,li1,56.3500,138.7200,1.799943
FILLER_47_97,VPWR,li1,52.9000,138.7200,1.799947
FILLER_47_85,VPWR,li1,47.3800,138.7200,1.799953
FILLER_47_81,VPWR,li1,43.4700,138.7200,1.799957
FILLER_47_69,VPWR,li1,40.0200,138.7200,1.799961
FILLER_47_57,VPWR,li1,34.5000,138.7200,1.799970
FILLER_47_53,VPWR,li1,30.5900,138.7200,1.799974
FILLER_47_41,VPWR,li1,27.1400,138.7200,1.799980
FILLER_47_29,VPWR,li1,21.6200,138.7200,1.799986
FILLER_47_27,VPWR,li1,18.1700,138.7200,1.799986
FILLER_47_15,VPWR,li1,15.1800,138.7200,1.799986
FILLER_47_3,VPWR,li1,9.6600,138.7200,1.799986
FILLER_46_283,VPWR,li1,135.9300,138.7200,1.799903
FILLER_46_277,VPWR,li1,134.3200,138.7200,1.799903
FILLER_46_265,VPWR,li1,130.1800,138.7200,1.799903
FILLER_46_253,VPWR,li1,124.6600,138.7200,1.799903
FILLER_46_249,VPWR,li1,120.7500,138.7200,1.799903
FILLER_46_237,VPWR,li1,117.3000,138.7200,1.799903
FILLER_46_225,VPWR,li1,111.7800,138.7200,1.799904
FILLER_46_213,VPWR,li1,106.2600,138.7200,1.799905
FILLER_46_205,VPWR,li1,100.5100,138.7200,1.799907
FILLER_46_197,VPWR,li1,97.9800,138.7200,1.799908
FILLER_46_195,VPWR,li1,95.4500,138.7200,1.799909
FILLER_46_187,VPWR,li1,93.3800,138.7200,1.799910
FILLER_46_177,VPWR,li1,87.4000,138.7200,1.799913
FILLER_46_150,VPWR,li1,75.9000,138.7200,1.799923
FILLER_46_141,VPWR,li1,70.6100,138.7200,1.799930
FILLER_46_136,VPWR,li1,69.0000,138.7200,1.799930
FILLER_46_124,VPWR,li1,65.3200,138.7200,1.799934
FILLER_46_112,VPWR,li1,59.8000,138.7200,1.799939
FILLER_46_100,VPWR,li1,54.2800,138.7200,1.799947
FILLER_46_88,VPWR,li1,48.7600,138.7200,1.799953
FILLER_46_75,VPWR,li1,40.2500,138.7200,1.799961
FILLER_46_67,VPWR,li1,38.1800,138.7200,1.799964
FILLER_46_55,VPWR,li1,33.5800,138.7200,1.799970
FILLER_46_49,VPWR,li1,28.5200,138.7200,1.799976
FILLER_46_41,VPWR,li1,26.2200,138.7200,1.799980
FILLER_46_29,VPWR,li1,21.6200,138.7200,1.799986
FILLER_46_27,VPWR,li1,18.1700,138.7200,1.799986
FILLER_46_15,VPWR,li1,15.1800,138.7200,1.799986
FILLER_46_3,VPWR,li1,9.6600,138.7200,1.799986
FILLER_45_281,VPWR,li1,135.4700,133.2800,1.799649
FILLER_45_279,VPWR,li1,134.0900,133.2800,1.799649
FILLER_45_275,VPWR,li1,132.9400,133.2800,1.799649
FILLER_45_263,VPWR,li1,129.2600,133.2800,1.799649
FILLER_45_251,VPWR,li1,123.7400,133.2800,1.799649
FILLER_45_229,VPWR,li1,111.0900,133.2800,1.799654
FILLER_45_221,VPWR,li1,107.8700,133.2800,1.799655
FILLER_45_213,VPWR,li1,103.7300,133.2800,1.799662
FILLER_45_185,VPWR,li1,90.8500,133.2800,1.799685
FILLER_45_164,VPWR,li1,81.1900,133.2800,1.799703
FILLER_45_147,VPWR,li1,73.3700,133.2800,1.799723
FILLER_45_130,VPWR,li1,65.5500,133.2800,1.799750
FILLER_45_113,VPWR,li1,60.2600,133.2800,1.799767
FILLER_45_107,VPWR,li1,54.9700,133.2800,1.799790
FILLER_45_101,VPWR,li1,53.3600,133.2800,1.799798
FILLER_45_78,VPWR,li1,41.8600,133.2800,1.799843
FILLER_45_72,VPWR,li1,38.8700,133.2800,1.799857
FILLER_45_42,VPWR,li1,25.7600,133.2800,1.799921
FILLER_45_30,VPWR,li1,22.0800,133.2800,1.799948
FILLER_45_18,VPWR,li1,16.5600,133.2800,1.799948
FILLER_45_6,VPWR,li1,11.0400,133.2800,1.799948
FILLER_44_283,VPWR,li1,135.9300,133.2800,1.799649
FILLER_44_277,VPWR,li1,134.3200,133.2800,1.799649
FILLER_44_265,VPWR,li1,130.1800,133.2800,1.799649
FILLER_44_253,VPWR,li1,124.6600,133.2800,1.799649
FILLER_44_251,VPWR,li1,121.2100,133.2800,1.799649
FILLER_44_245,VPWR,li1,119.6000,133.2800,1.799649
FILLER_44_197,VPWR,li1,97.0600,133.2800,1.799671
FILLER_44_192,VPWR,li1,94.7600,133.2800,1.799675
FILLER_44_180,VPWR,li1,89.2400,133.2800,1.799685
FILLER_44_162,VPWR,li1,80.2700,133.2800,1.799708
FILLER_44_158,VPWR,li1,79.1200,133.2800,1.799708
FILLER_44_115,VPWR,li1,59.8000,133.2800,1.799767
FILLER_44_108,VPWR,li1,55.8900,133.2800,1.799783
FILLER_44_82,VPWR,li1,43.7000,133.2800,1.799834
FILLER_44_75,VPWR,li1,40.4800,133.2800,1.799857
FILLER_44_67,VPWR,li1,37.2600,133.2800,1.799865
FILLER_44_55,VPWR,li1,32.2000,133.2800,1.799892
FILLER_44_44,VPWR,li1,26.4500,133.2800,1.799921
FILLER_44_36,VPWR,li1,23.9200,133.2800,1.799930
FILLER_44_26,VPWR,li1,17.9400,133.2800,1.799948
FILLER_44_18,VPWR,li1,15.6400,133.2800,1.799948
FILLER_44_6,VPWR,li1,11.0400,133.2800,1.799948
FILLER_43_281,VPWR,li1,135.4700,127.8400,1.799917
FILLER_43_278,VPWR,li1,133.8600,127.8400,1.799917
FILLER_43_266,VPWR,li1,130.6400,127.8400,1.799917
FILLER_43_254,VPWR,li1,125.1200,127.8400,1.799917
FILLER_43_242,VPWR,li1,119.6000,127.8400,1.799917
FILLER_43_230,VPWR,li1,114.0800,127.8400,1.799917
FILLER_43_209,VPWR,li1,102.1200,127.8400,1.799918
FILLER_43_201,VPWR,li1,99.8200,127.8400,1.799919
FILLER_43_181,VPWR,li1,89.4700,127.8400,1.799922
FILLER_43_173,VPWR,li1,86.9400,127.8400,1.799923
FILLER_43_164,VPWR,li1,81.8800,127.8400,1.799925
FILLER_43_152,VPWR,li1,78.2000,127.8400,1.799927
FILLER_43_134,VPWR,li1,67.3900,127.8400,1.799933
FILLER_43_128,VPWR,li1,65.7800,127.8400,1.799933
FILLER_43_109,VPWR,li1,56.3500,127.8400,1.799938
FILLER_43_92,VPWR,li1,48.5300,127.8400,1.799946
FILLER_43_81,VPWR,li1,44.1600,127.8400,1.799951
FILLER_43_69,VPWR,li1,40.0200,127.8400,1.799957
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.799962
FILLER_43_54,VPWR,li1,30.8200,127.8400,1.799968
FILLER_43_42,VPWR,li1,27.6000,127.8400,1.799971
FILLER_43_30,VPWR,li1,22.0800,127.8400,1.799979
FILLER_43_26,VPWR,li1,17.7100,127.8400,1.799980
FILLER_43_17,VPWR,li1,14.7200,127.8400,1.799979
FILLER_43_11,VPWR,li1,11.0400,127.8400,1.799978
FILLER_43_3,VPWR,li1,8.7400,127.8400,1.799978
FILLER_42_283,VPWR,li1,135.9300,127.8400,1.799917
FILLER_42_277,VPWR,li1,134.3200,127.8400,1.799917
FILLER_42_265,VPWR,li1,130.1800,127.8400,1.799917
FILLER_42_253,VPWR,li1,124.6600,127.8400,1.799917
FILLER_42_250,VPWR,li1,120.9800,127.8400,1.799917
FILLER_42_242,VPWR,li1,118.6800,127.8400,1.799917
FILLER_42_230,VPWR,li1,114.0800,127.8400,1.799917
FILLER_42_218,VPWR,li1,108.5600,127.8400,1.799918
FILLER_42_209,VPWR,li1,103.0400,127.8400,1.799918
FILLER_42_197,VPWR,li1,98.9000,127.8400,1.799919
FILLER_42_195,VPWR,li1,95.4500,127.8400,1.799920
FILLER_42_189,VPWR,li1,93.8400,127.8400,1.799920
FILLER_42_177,VPWR,li1,89.7000,127.8400,1.799922
FILLER_42_165,VPWR,li1,84.1800,127.8400,1.799924
FILLER_42_153,VPWR,li1,78.6600,127.8400,1.799927
FILLER_42_141,VPWR,li1,73.1400,127.8400,1.799929
FILLER_42_139,VPWR,li1,69.6900,127.8400,1.799931
FILLER_42_133,VPWR,li1,68.0800,127.8400,1.799931
FILLER_42_121,VPWR,li1,63.9400,127.8400,1.799934
FILLER_42_109,VPWR,li1,58.4200,127.8400,1.799937
FILLER_42_97,VPWR,li1,52.9000,127.8400,1.799941
FILLER_42_85,VPWR,li1,47.3800,127.8400,1.799948
FILLER_42_83,VPWR,li1,43.9300,127.8400,1.799951
FILLER_42_75,VPWR,li1,41.8600,127.8400,1.799953
FILLER_42_66,VPWR,li1,36.3400,127.8400,1.799959
FILLER_42_54,VPWR,li1,33.1200,127.8400,1.799966
FILLER_42_43,VPWR,li1,25.5300,127.8400,1.799974
FILLER_42_35,VPWR,li1,23.4600,127.8400,1.799979
FILLER_42_26,VPWR,li1,17.9400,127.8400,1.799980
FILLER_41_281,VPWR,li1,135.4700,122.4000,1.799847
FILLER_41_274,VPWR,li1,132.0200,122.4000,1.799848
FILLER_41_262,VPWR,li1,128.8000,122.4000,1.799849
FILLER_41_249,VPWR,li1,121.4400,122.4000,1.799852
FILLER_41_237,VPWR,li1,117.3000,122.4000,1.799854
FILLER_41_225,VPWR,li1,111.7800,122.4000,1.799857
FILLER_41_222,VPWR,li1,108.1000,122.4000,1.799859
FILLER_41_214,VPWR,li1,105.8000,122.4000,1.799860
FILLER_41_202,VPWR,li1,101.2000,122.4000,1.799862
FILLER_41_185,VPWR,li1,90.8500,122.4000,1.799872
FILLER_41_181,VPWR,li1,89.7000,122.4000,1.799872
FILLER_41_169,VPWR,li1,86.0200,122.4000,1.799877
FILLER_41_167,VPWR,li1,82.5700,122.4000,1.799881
FILLER_41_161,VPWR,li1,80.9600,122.4000,1.799884
FILLER_41_149,VPWR,li1,76.8200,122.4000,1.799889
FILLER_41_137,VPWR,li1,71.3000,122.4000,1.799898
