net,length_um
net79,359.82µm
net126,286.19µm
net136,279.13µm
net87,270.745µm
clknet_2_3__leaf_aclk,269.35µm
_0364_,269.26µm
_0220_,268.45µm
net81,268.32µm
clknet_2_0__leaf_aclk,264.2µm
clknet_2_1__leaf_aclk,258.34µm
net84,248.56µm
net78,244.44µm
net63,244µm
net91,219.06µm
_0219_,215.9µm
net135,211.8µm
net72,209.62µm
net122,205.4µm
_0689_,200.68µm
net77,200.64µm
_0539_,186.35µm
net76,186.26µm
net86,185.15µm
net134,184.62µm
clknet_2_2__leaf_aclk,184.38µm
internal_weight\[1\],182.84µm
net123,181.82µm
net125,180.66µm
net83,174µm
net124,173.86µm
net133,173.65µm
net129,172.08µm
net58,171.64µm
net113,168.235µm
net111,167.19µm
net96,165.07µm
net127,164.48µm
net61,159.36µm
net85,158.9µm
net62,153.84µm
net80,151.76µm
net64,147.69µm
net57,147.095µm
aclk,146.87µm
net105,146.18µm
net88,140.68µm
net121,137.615µm
_0656_,136.43µm
clknet_0_aclk,134.855µm
net131,133.46µm
net67,132.66µm
net68,131.66µm
_0655_,128.42µm
net90,128.04µm
net94,126.34µm
internal_rssi\[7\],121.52µm
net115,121.22µm
net82,119.5µm
_0199_,116.9µm
_0201_,114.5µm
net73,112.78µm
net107,108.995µm
net118,107.06µm
_0365_,106.01µm
net104,105.3µm
internal_weight\[7\],104.92µm
net98,101.95µm
net71,101.19µm
net117,101.04µm
net65,98.64µm
net116,98.325µm
net102,98.295µm
net66,97.91µm
net119,97.6µm
internal_weight\[4\],96.44µm
net70,95.78µm
_0540_,90.52µm
net110,89.29µm
_0723_,88.26µm
_0200_,87.36µm
net108,86.54µm
net93,85.66µm
net1,85.06µm
net75,83.35µm
net74,79.93µm
net27,79.68µm
net26,78.34µm
internal_weight\[3\],76.85µm
net132,76.76µm
net106,74.84µm
net100,72.92µm
internal_rssi\[3\],72.78µm
net101,72.28µm
net92,72.09µm
_0348_,69.86µm
net56,66.2µm
internal_rssi\[4\],65.74µm
_0347_,65.62µm
net89,65.62µm
net103,63.4µm
net130,63.4µm
net59,62.7µm
_0570_,59.88µm
_0521_,59.39µm
_0522_,59.38µm
_0561_,59.27µm
net28,55.92µm
net25,55.2µm
net97,55.12µm
_0691_,54.48µm
net39,54.32µm
_0712_,52.7µm
internal_rssi\[5\],52.42µm
net95,51.95µm
_0613_,51.86µm
_0390_,50.08µm
_0527_,49.94µm
internal_rssi\[1\],49.9µm
_0391_,49.26µm
_0972_,49.24µm
_0813_,48.78µm
net40,48.2µm
_0494_,44.16µm
net128,44.08µm
_0386_,44.02µm
net99,43.86µm
_0329_,43.32µm
_0781_,43.3µm
_0119_,42.52µm
internal_weight\[2\],42.5µm
_0407_,42.28µm
net35,41.92µm
_0624_,41.7µm
_0125_,41.68µm
_0938_,41.42µm
net33,41.38µm
internal_rssi\[2\],41.26µm
_0692_,41.2µm
net2,40.92µm
net48,40.44µm
_0735_,40.36µm
_0577_,40.3µm
_0126_,40.02µm
_0452_,39.73µm
_0473_,39.68µm
net45,39.46µm
_0844_,39.29µm
net36,39.18µm
_0089_,38.74µm
net29,37.96µm
net46,37.54µm
net112,37.46µm
_0815_,36.94µm
net34,36.62µm
_0842_,36.54µm
net12,36.52µm
net43,36.48µm
_0572_,36.24µm
net120,35.6µm
_0373_,35.52µm
net11,35.44µm
_0505_,35.36µm
_0382_,35.3µm
net47,35.24µm
_0804_,35.02µm
_0783_,34.96µm
_0640_,34.94µm
net38,34.7µm
_0559_,34.45µm
_0658_,34.23µm
net42,34.11µm
_0431_,34.025µm
_0607_,34.02µm
_0644_,33.94µm
net109,33.74µm
_0352_,33.44µm
_0571_,33.38µm
_0701_,33.38µm
net37,32.42µm
_0552_,32.3µm
_0669_,31.975µm
_0359_,31.92µm
net24,31.86µm
net51,31.68µm
_0495_,31.26µm
_1018_,31.16µm
_0485_,30.35µm
_0874_,29.84µm
_1009_,29.8µm
_0673_,29.66µm
_0369_,29.6µm
net114,29.39µm
_0870_,29.32µm
_0310_,29.24µm
_0419_,29.1µm
_0319_,28.9µm
_0902_,28.78µm
_0893_,28.6µm
net60,28.58µm
_0392_,28.48µm
net4,28.34µm
_0443_,28.165µm
_0725_,28.04µm
_0518_,27.99µm
_0291_,27.54µm
_1035_,27.54µm
_0557_,27.44µm
_0616_,27.36µm
_0367_,27.18µm
_0422_,27µm
_0670_,26.84µm
net32,26.72µm
_0322_,26.52µm
_0888_,26.42µm
_0471_,26.36µm
_0516_,26.32µm
_0060_,26.26µm
_0463_,26.13µm
_0414_,26.08µm
_0246_,25.83µm
_0399_,25.82µm
_0304_,25.66µm
_0582_,25.63µm
_0233_,25.58µm
_0257_,25.54µm
_0668_,25.46µm
_0402_,24.98µm
net41,24.94µm
_0062_,24.89µm
_0317_,24.88µm
_1015_,24.84µm
_1016_,24.72µm
_0752_,24.38µm
_0541_,24.24µm
_0581_,24.2µm
_0754_,24.02µm
_0614_,24µm
_0056_,23.52µm
_1019_,23.5µm
_0408_,23.2µm
_0746_,23.12µm
_0751_,23.12µm
_0116_,23.06µm
_0299_,23µm
_0479_,22.98µm
_0642_,22.9µm
_0437_,22.82µm
_0377_,22.7µm
_0853_,22.62µm
_0573_,22.6µm
net22,22.54µm
net44,22.46µm
