Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_56_333,VGND,li1,159.1600,163.2000,0.000048
FILLER_56_321,VGND,li1,155.9400,163.2000,0.000048
FILLER_56_309,VGND,li1,150.4200,163.2000,0.000048
FILLER_56_305,VGND,li1,146.5100,163.2000,0.000048
FILLER_56_293,VGND,li1,143.0600,163.2000,0.000048
FILLER_56_281,VGND,li1,137.5400,163.2000,0.000048
FILLER_56_279,VGND,li1,134.0900,163.2000,0.000048
FILLER_56_267,VGND,li1,131.1000,163.2000,0.000048
FILLER_56_259,VGND,li1,125.3500,163.2000,0.000048
FILLER_56_253,VGND,li1,122.3600,163.2000,0.000047
FILLER_56_249,VGND,li1,120.7500,163.2000,0.000047
FILLER_56_237,VGND,li1,117.3000,163.2000,0.000047
FILLER_56_225,VGND,li1,111.7800,163.2000,0.000046
FILLER_56_214,VGND,li1,105.3400,163.2000,0.000045
FILLER_56_205,VGND,li1,100.0500,163.2000,0.000043
FILLER_56_189,VGND,li1,93.1500,163.2000,0.000041
FILLER_56_181,VGND,li1,90.6200,163.2000,0.000040
FILLER_56_169,VGND,li1,86.0200,163.2000,0.000038
FILLER_56_167,VGND,li1,82.5700,163.2000,0.000037
FILLER_56_161,VGND,li1,80.9600,163.2000,0.000036
FILLER_56_149,VGND,li1,75.9000,163.2000,0.000034
FILLER_56_141,VGND,li1,71.7600,163.2000,0.000032
FILLER_56_134,VGND,li1,68.5400,163.2000,0.000031
FILLER_56_122,VGND,li1,64.4000,163.2000,0.000029
FILLER_56_119,VGND,li1,60.4900,163.2000,0.000026
FILLER_56_113,VGND,li1,57.9600,163.2000,0.000025
FILLER_56_111,VGND,li1,56.8100,163.2000,0.000024
FILLER_56_105,VGND,li1,55.2000,163.2000,0.000024
FILLER_56_97,VGND,li1,51.0600,163.2000,0.000021
FILLER_56_85,VGND,li1,47.3800,163.2000,0.000019
FILLER_56_81,VGND,li1,43.4700,163.2000,0.000017
FILLER_56_69,VGND,li1,40.0200,163.2000,0.000015
FILLER_56_57,VGND,li1,34.5000,163.2000,0.000012
FILLER_56_53,VGND,li1,30.5900,163.2000,0.000009
FILLER_56_41,VGND,li1,27.1400,163.2000,0.000007
FILLER_56_29,VGND,li1,21.6200,163.2000,0.000006
FILLER_56_27,VGND,li1,18.1700,163.2000,0.000006
FILLER_56_15,VGND,li1,15.1800,163.2000,0.000006
FILLER_56_3,VGND,li1,9.6600,163.2000,0.000006
FILLER_55_332,VGND,li1,158.9300,163.2000,0.000048
FILLER_55_320,VGND,li1,155.4800,163.2000,0.000048
FILLER_55_308,VGND,li1,149.9600,163.2000,0.000048
FILLER_55_296,VGND,li1,144.4400,163.2000,0.000048
FILLER_55_288,VGND,li1,138.2300,163.2000,0.000048
FILLER_55_279,VGND,li1,134.0900,163.2000,0.000048
FILLER_55_275,VGND,li1,132.9400,163.2000,0.000048
FILLER_55_246,VGND,li1,120.0600,163.2000,0.000047
FILLER_55_225,VGND,li1,109.7100,163.2000,0.000046
FILLER_55_201,VGND,li1,98.2100,163.2000,0.000043
FILLER_55_187,VGND,li1,91.7700,163.2000,0.000041
FILLER_55_179,VGND,li1,89.7000,163.2000,0.000040
FILLER_55_169,VGND,li1,83.4900,163.2000,0.000037
FILLER_55_148,VGND,li1,73.8300,163.2000,0.000033
FILLER_55_132,VGND,li1,66.7000,163.2000,0.000030
FILLER_55_94,VGND,li1,49.6800,163.2000,0.000021
FILLER_55_77,VGND,li1,41.4000,163.2000,0.000016
FILLER_55_69,VGND,li1,39.1000,163.2000,0.000015
FILLER_55_57,VGND,li1,34.5000,163.2000,0.000012
FILLER_55_55,VGND,li1,31.0500,163.2000,0.000009
FILLER_55_51,VGND,li1,29.9000,163.2000,0.000009
FILLER_55_39,VGND,li1,26.2200,163.2000,0.000006
FILLER_55_27,VGND,li1,20.7000,163.2000,0.000006
FILLER_55_15,VGND,li1,15.1800,163.2000,0.000006
FILLER_55_3,VGND,li1,9.6600,163.2000,0.000006
FILLER_54_333,VGND,li1,159.1600,157.7600,0.000045
